Time,Freq_Hz,V1,V2,V3,Vnavg_V,V12,V23,V31,VIavg_V,I1,I2,I3,Iavg_A,P1,P2,P3,Psum_kW,Q1,Q2,Q3,Qsum_kvar,S1,S2,S3,Ssum_kVA,PF1,PF2,PF3,PF,Unbl_V,Unbl_I,LCavg,DMD_P_kW,DMD_Q_kvar,DMD_S_kVA,EP_IMP_kWh,EP_EXP_kWh,EQ_IMP_kvarh,EQ_EXP_kvarh,EP_TOTAL_kWh,EP_NET_kWh,EQ_TOTAL_kvarh,EQ_NET_kvarh,ES_kVAh,THD_Va,THD_Vb,THD_Vc,THD_Vavg,THD_Ia,THD_Ib,THD_Ic,THD_Iavg,Ang_Vb,Ang_Vc,Ang_Ia,Ang_Ib,Ang_Ic,DMD_I1_A,DMD_I2_A,DMD_I3_A,EPa_IMP_kWh,EPa_EXP_kWh,EPb_IMP_kWh,EPb_EXP_kWh,EPc_IMP_kWh,EPc_EXP_kWh,EQa_IMP_kvarh,EQa_EXP_kvarh,EQb_IMP_kvarh,EQb_EXP_kvarh,EQc_IMP_kvarh,EQc_EXP_kvarh,ESa_kVAh,ESb_kVAh,ESc_kVAh
2020-09-22T08:12:00+0700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,82.000000,0.000000,0.000000,0.000000,52810.300787,1.900000,9690.300144,3.600000,52812.200787,52808.400787,9693.900144,9686.700144,60528.300902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19757.700294,0.600000,19635.800293,3.900000,16587.900247,3172.200047,3687.200055,5.000000,3785.100056,1.000000,2978.900044,762.300011,20197.500301,20105.700300,20218.700301
2020-09-22T08:13:00+0700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,82.000000,0.000000,0.000000,0.000000,52810.300787,1.900000,9690.300144,3.600000,52812.200787,52808.400787,9693.900144,9686.700144,60528.300902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19757.700294,0.600000,19635.800293,3.900000,16587.900247,3172.200047,3687.200055,5.000000,3785.100056,1.000000,2978.900044,762.300011,20197.500301,20105.700300,20218.700301
2020-09-22T08:14:00+0700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,82.000000,0.000000,0.000000,0.000000,52810.300787,1.900000,9690.300144,3.600000,52812.200787,52808.400787,9693.900144,9686.700144,60528.300902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19757.700294,0.600000,19635.800293,3.900000,16587.900247,3172.200047,3687.200055,5.000000,3785.100056,1.000000,2978.900044,762.300011,20197.500301,20105.700300,20218.700301
2020-09-22T08:15:00+0700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,82.000000,0.000000,0.000000,0.000000,52810.300787,1.900000,9690.300144,3.600000,52812.200787,52808.400787,9693.900144,9686.700144,60528.300902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19757.700294,0.600000,19635.800293,3.900000,16587.900247,3172.200047,3687.200055,5.000000,3785.100056,1.000000,2978.900044,762.300011,20197.500301,20105.700300,20218.700301
2020-09-22T08:16:00+0700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,82.000000,0.000000,0.000000,0.000000,52810.300787,1.900000,9690.300144,3.600000,52812.200787,52808.400787,9693.900144,9686.700144,60528.300902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19757.700294,0.600000,19635.800293,3.900000,16587.900247,3172.200047,3687.200055,5.000000,3785.100056,1.000000,2978.900044,762.300011,20197.500301,20105.700300,20218.700301
2020-09-22T08:17:00+0700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,82.000000,0.000000,0.000000,0.000000,52810.300787,1.900000,9690.300144,3.600000,52812.200787,52808.400787,9693.900144,9686.700144,60528.300902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19757.700294,0.600000,19635.800293,3.900000,16587.900247,3172.200047,3687.200055,5.000000,3785.100056,1.000000,2978.900044,762.300011,20197.500301,20105.700300,20218.700301
2020-09-22T08:18:00+0700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,82.000000,0.000000,0.000000,0.000000,52810.300787,1.900000,9690.300144,3.600000,52812.200787,52808.400787,9693.900144,9686.700144,60528.300902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19757.700294,0.600000,19635.800293,3.900000,16587.900247,3172.200047,3687.200055,5.000000,3785.100056,1.000000,2978.900044,762.300011,20197.500301,20105.700300,20218.700301
2020-09-22T08:19:00+0700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,82.000000,0.000000,0.000000,0.000000,52810.300787,1.900000,9690.300144,3.600000,52812.200787,52808.400787,9693.900144,9686.700144,60528.300902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19757.700294,0.600000,19635.800293,3.900000,16587.900247,3172.200047,3687.200055,5.000000,3785.100056,1.000000,2978.900044,762.300011,20197.500301,20105.700300,20218.700301
2020-09-22T08:20:00+0700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,82.000000,0.000000,0.000000,0.000000,52810.300787,1.900000,9690.300144,3.600000,52812.200787,52808.400787,9693.900144,9686.700144,60528.300902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19757.700294,0.600000,19635.800293,3.900000,16587.900247,3172.200047,3687.200055,5.000000,3785.100056,1.000000,2978.900044,762.300011,20197.500301,20105.700300,20218.700301
2020-09-22T08:21:00+0700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,82.000000,0.000000,0.000000,0.000000,52810.300787,1.900000,9690.300144,3.600000,52812.200787,52808.400787,9693.900144,9686.700144,60528.300902,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,19757.700294,0.600000,19635.800293,3.900000,16587.900247,3172.200047,3687.200055,5.000000,3785.100056,1.000000,2978.900044,762.300011,20197.500301,20105.700300,20218.700301
